name,s_dropout_percent
Adur,73.50103090726346
Amber Valley,50.710475778993256
Ashfield,28.741132744330226
Barking and Dagenham,72.7693752220474
Barnsley,9.892675461370585
Barrow-in-Furness,19.45485545825596
Bassetlaw,5.85376603241903
Bath and North East Somerset,37.279422067271625
Bexley,79.24829009942952
Birmingham,36.1362710611556
Blaby,8.478979078633953
Blackburn with Darwen,49.762748177964134
Bolsover,17.485655575032826
Bolton,8.836640782283578
Bournemouth,34.311719201076144
Bracknell Forest,74.99278820397431
Bradford,4.892764388780224
Brent,62.72605455978546
Brentwood,79.62470247274591
Brighton and Hove,67.59037302228694
"Bristol, City of",49.093460972362664
Bromsgrove,23.03443312680485
Broxbourne,72.61809017759889
Broxtowe,33.60545120683171
Burnley,48.873810270551886
Bury,22.15571102669514
Calderdale,8.431782482688439
Cannock Chase,44.96743521638207
Castle Point,77.06849492745042
Central Bedfordshire,61.28455209432726
Charnwood,17.05540958446608
Chelmsford,82.68321974483473
Cheltenham,40.33246271230335
Cheshire East,17.466904905366057
Cheshire West and Chester,26.649093742937325
Chesterfield,13.729405171063803
Chichester,56.545491141745515
Chiltern,69.05062615741193
Chorley,20.98411409430036
Christchurch,39.405383622000386
Corby,29.654937792023517
Cornwall,33.99397722851004
Cotswold,23.03443312680485
County Durham,42.46390089408919
Coventry,24.199393037894787
Craven,25.072638510947392
Croydon,75.75224997191195
Dacorum,63.765117117398496
Darlington,16.910761561322392
Dartford,75.55798696107279
Daventry,33.243570873627206
Derby,39.2607355988567
Derbyshire Dales,35.021565981318304
Doncaster,3.4512619233220168
Dudley,46.408937681840285
Ealing,68.25966022788842
East Devon,24.802093134326807
East Dorset,32.47441384907761
East Hertfordshire,65.80332250154105
East Riding of Yorkshire,15.189658306188782
East Staffordshire,27.28329800095521
Eastbourne,83.85175844192237
Eastleigh,45.35354284631045
Elmbridge,73.94339054619215
Epping Forest,76.27994738967688
Erewash,22.258639080950402
Exeter,41.94400089187685
Fareham,42.650268886121296
Flintshire,0.546448087431692
Forest of Dean,22.397170633479828
Fylde,17.284755542888828
Gateshead,29.619854844439935
Gedling,12.322985653189177
Gloucester,33.124950385012305
Gravesham,83.94920986912055
Greenwich,75.01817589494594
Guildford,77.7904553560545
Halton,34.77398990391936
Harborough,10.592826985000764
Harrogate,33.915916314535814
Harrow,68.08056910071831
Hart,69.53112697923133
Hartlepool,35.715080483643646
Havant,69.28966737244664
"Herefordshire, County of",20.54417284712164
Hertsmere,77.7026991854683
High Peak,38.38749012580409
Hillingdon,64.53185575019813
Hinckley and Bosworth,10.183750055850755
Horsham,61.10240273185003
Hounslow,63.09035328473993
Isle of Wight,79.72215389994408
Kettering,28.187407792036527
"Kingston upon Hull, City of",16.82964241204103
Kingston upon Thames,73.65473434346195
Kirklees,7.998478256814553
Knowsley,21.452501267757828
Lancaster,32.5403611146899
Leeds,16.816368369431352
Leicester,13.987197055765296
Lewes,81.45231256813248
Lichfield,32.05986029287049
Liverpool,18.56949633684141
Maldon,82.29163548784926
Malvern Hills,19.10267038166343
Manchester,23.666218993072768
Mansfield,34.95919750170372
Melton,40.174540646549985
Mendip,48.047761393444794
Merton,77.55563277057466
Mid Sussex,73.87744328057985
Middlesbrough,23.292225011506336
Mole Valley,75.27174915009253
Monmouthshire,0.26990553306342685
New Forest,45.77051479426752
Newark and Sherwood,23.678332641434707
Newcastle-under-Lyme,16.622105358592187
Newcastle upon Tyne,22.604187136238096
Newham,70.7596157641836
Newport,0.13495276653171343
North Devon,19.244260169499984
North Dorset,33.43541549271641
North East Derbyshire,34.126511603291796
North East Lincolnshire,7.740686372113062
North Hertfordshire,66.63906663526011
North Kesteven,10.067547958985811
North Lincolnshire,6.450468951103372
North Tyneside,16.78792244315261
North Warwickshire,36.31842042363282
North West Leicestershire,13.267655018911176
Northampton,37.22253021471415
Northumberland,48.93312051485933
Nottingham,16.79455946445745
Nuneaton and Bedworth,32.79151597808655
Oldham,16.801196485762286
Pendle,38.86557255587352
Plymouth,8.87172372986716
Poole,33.10619971534553
Portsmouth,36.6990514265041
